T,加速度X(G),加速度Y(G),加速度Z(G),加速度合計(G),地磁気X(gauss),地磁気Y(gauss),地磁気Z(gauss),ジャイロX(dps),ジャイロY(dps),ジャイロZ(dps),気圧(hPa),高度(m),気温(℃),飛行状態,,
+ 11.20,-0.048,-0.034,-0.033,0.070,0.114,0.085,0.357,3.955,50.278,93.564,965.22,145.25,39.37,4,,
+ 11.34,-0.005,-0.040,-0.020,0.050,0.114,0.085,0.357,6.991,41.755,86.660,965.52,142.37,39.37,4,,
+ 11.46,0.006,-0.046,0.001,0.050,0.165,0.120,0.337,-3.605,24.063,91.306,966.04,137.4,39.38,4,,
+ 11.59,0.004,-0.061,-0.001,0.060,0.233,0.136,0.334,-22.934,6.536,101.833,966.32,134.79,39.37,4,,
+ 11.72,0.010,-0.056,-0.015,0.060,0.328,0.119,0.349,-40.801,-1.260,106.943,966.92,129.09,39.36,4,,
+ 11.85,-0.007,-0.045,-0.034,0.060,0.416,0.051,0.378,-47.731,-0.674,102.454,967.73,121.37,39.36,4,,
+ 11.98,-0.015,-0.002,-0.026,0.030,0.416,0.051,0.378,-41.545,-0.123,94.343,968.03,118.54,39.36,4,,
+ 12.11,0.004,0.000,-0.006,0.010,0.469,-0.043,0.399,-26.364,-2.013,86.013,968.69,112.35,39.35,4,,
+ 12.24,0.012,0.021,-0.005,0.020,0.488,-0.134,0.404,-7.429,-7.158,79.494,968.99,109.47,39.35,4,,
+ 12.37,-0.028,0.016,-0.028,0.040,0.496,-0.202,0.397,6.178,-13.291,75.215,969.8,101.84,39.34,4,,
+ 12.50,-0.015,-0.008,-0.042,0.050,0.503,-0.256,0.389,10.929,-12.311,67.760,970.66,93.67,39.34,4,,
+ 12.63,-0.037,-0.010,-0.051,0.060,0.503,-0.256,0.389,5.189,-4.891,59.868,971.1,89.55,39.34,4,,
+ 12.76,-0.044,-0.010,-0.045,0.060,0.496,-0.295,0.383,-2.083,9.450,50.908,971.93,81.71,39.35,4,,
+ 12.89,-0.042,-0.013,-0.051,0.070,0.471,-0.338,0.386,-8.549,18.953,45.745,972.31,78.13,39.34,4,,
+ 13.02,-0.009,-0.007,-0.052,0.050,0.428,-0.379,0.392,-11.708,19.740,43.584,973.2,69.77,39.34,4,,
+ 13.15,0.003,0.015,-0.054,0.060,0.388,-0.423,0.397,-11.953,11.751,46.673,974.11,61.23,39.33,4,,
+ 13.28,0.008,0.008,-0.061,0.060,0.349,-0.457,0.393,-10.911,-1.986,47.583,974.5,57.52,39.34,4,,
+ 13.41,0.006,-0.020,-0.060,0.060,0.349,-0.457,0.393,-12.093,-7.420,49.018,975.46,48.49,39.33,4,,
+ 13.54,-0.009,0.008,-0.077,0.080,0.314,-0.488,0.385,-12.163,-6.151,50.015,975.91,44.31,39.33,4,,
+ 13.67,-0.034,0.026,-0.066,0.080,0.272,-0.510,0.377,-7.814,0.831,47.478,976.93,34.74,39.32,4,,
+ 13.80,-0.025,0.009,-0.066,0.070,0.233,-0.523,0.374,-2.511,4.725,46.025,977.89,25.74,39.32,4,,
+ 13.93,-0.025,-0.019,-0.096,0.100,0.182,-0.526,0.375,-0.963,3.903,48.038,978.31,21.83,39.32,4,,
+ 14.06,-0.009,-0.010,-0.086,0.090,0.182,-0.526,0.375,-4.681,1.601,48.869,979.36,12,39.32,4,,
+ 14.19,-0.010,-0.004,-0.117,0.120,0.136,-0.523,0.377,-5.320,2.695,50.916,979.83,7.62,39.31,4,,
