# time,q0,q1,q2,q3,angle_x,angle_y,angle_z,height
-3.509999999999999787e+00,9.999958956124024301e-01,-2.324856388687287362e-03,4.564584373558126709e-04,1.611039048429500084e-03,4.651183114586795488e-03,-9.054223826079132531e-04,-3.224194180551900359e-03,0.000000000000000000e+00
-3.379999999999999893e+00,9.999958948410825332e-01,-2.297178723222823623e-03,7.489759985903035773e-04,1.540229154752394006e-03,4.596667071101404739e-03,-1.490870036854360101e-03,-3.083895042642186349e-03,0.000000000000000000e+00
-3.250000000000000000e+00,9.999959098000467117e-01,-2.330157570615275751e-03,8.925118764074823057e-04,1.397916815416473408e-03,4.662815665065930121e-03,-1.778502656398250588e-03,-2.799989668827532110e-03,0.000000000000000000e+00
-3.120000000000000107e+00,9.999953079197411165e-01,-2.511930220286542805e-03,1.075473531828055520e-03,1.384811088939286389e-03,5.026848247572002389e-03,-2.143981516116606149e-03,-2.775022151044954574e-03,0.000000000000000000e+00
-2.990000000000000213e+00,9.999951716964725623e-01,-2.594262983989231199e-03,1.109931379381428381e-03,1.301704899070313089e-03,5.191426554593228833e-03,-2.213099917477367139e-03,-2.609165485883686679e-03,0.000000000000000000e+00
-2.859999999999999876e+00,9.999952958895902411e-01,-2.558047940282292057e-03,1.074026007025394433e-03,1.308073989171174316e-03,5.118915716279879950e-03,-2.141351313915963207e-03,-2.621639505412480791e-03,0.000000000000000000e+00
-2.720000000000000195e+00,9.999951280765665418e-01,-2.572563035650892328e-03,1.131755384496603307e-03,1.358260765548529106e-03,5.148211290816300488e-03,-2.256513233437007927e-03,-2.722341614025668502e-03,0.000000000000000000e+00
-2.589999999999999858e+00,9.999946709169627024e-01,-2.576691545434977443e-03,1.163141496651209006e-03,1.632758467251312724e-03,5.157190600275565230e-03,-2.317858441906640518e-03,-3.271508269724581006e-03,0.000000000000000000e+00
-2.459999999999999964e+00,9.999947605395688166e-01,-2.521187011490288142e-03,1.156372811082467377e-03,1.668925218157628820e-03,5.046242217286281244e-03,-2.304320198740623243e-03,-3.343678919759331732e-03,0.000000000000000000e+00
-2.330000000000000071e+00,9.999952024341007828e-01,-2.435347586356632985e-03,1.180450943418462264e-03,1.506892990260132268e-03,4.874262232245031232e-03,-2.353553116645539130e-03,-3.019534089773655890e-03,0.000000000000000000e+00
-2.200000000000000178e+00,9.999950174240236356e-01,-2.518510302876340607e-03,1.115355879881641671e-03,1.542145985527028015e-03,5.040469388405896534e-03,-2.222934654714971668e-03,-3.089907224988884104e-03,0.000000000000000000e+00
-2.080000000000000071e+00,9.999950458004520648e-01,-2.495521812496649065e-03,9.525399468676886078e-04,1.665356743541373001e-03,4.994221280980710130e-03,-1.896759724758974005e-03,-3.335463339150916001e-03,0.000000000000000000e+00
-1.939999999999999947e+00,9.999951750607674050e-01,-2.370882962694848689e-03,9.873691034173411908e-04,1.747532950858419337e-03,4.745220949453354993e-03,-1.966443553982895158e-03,-3.499744822238802597e-03,0.000000000000000000e+00
-1.820000000000000062e+00,9.999956458083947286e-01,-2.382347727410125127e-03,1.002845655357472105e-03,1.423757053446846879e-03,4.767557910933026451e-03,-1.998900139923910201e-03,-2.852289528196310948e-03,0.000000000000000000e+00
-1.689999999999999947e+00,9.999962148114553973e-01,-2.305379800446157035e-03,9.984596752859568620e-04,1.121902407756672319e-03,4.613008007522569412e-03,-1.991740286439612137e-03,-2.248406333970650716e-03,0.000000000000000000e+00
-1.550000000000000044e+00,9.999967074276705503e-01,-2.212980880575403202e-03,9.724864968397150394e-04,8.614635522881067698e-04,4.427645520146021758e-03,-1.941155004046005031e-03,-1.727229732745768622e-03,0.000000000000000000e+00
-1.419999999999999929e+00,9.999965137061493925e-01,-2.246775154709836856e-03,1.066016229487096135e-03,8.877985966050160136e-04,4.495452779385044825e-03,-2.128037264574938504e-03,-1.780386172358402845e-03,0.000000000000000000e+00
-1.290000000000000036e+00,9.999968395361237272e-01,-2.210123689162019154e-03,9.621694827349962058e-04,7.144934762643534399e-04,4.421630903572549426e-03,-1.921175827567316984e-03,-1.433238599067543492e-03,0.000000000000000000e+00
-1.159999999999999920e+00,9.999965271729407412e-01,-2.284137257450480525e-03,9.948554143781828101e-04,8.594310618096931247e-04,4.569993587048631553e-03,-1.985779106910827863e-03,-1.723405178030568705e-03,0.000000000000000000e+00
-1.030000000000000027e+00,9.999960825634593986e-01,-2.328106227146266131e-03,1.006948959299314595e-03,1.183567877995954322e-03,4.658604044790470161e-03,-2.008380435951574901e-03,-2.371822058444020016e-03,0.000000000000000000e+00
-9.100000000000000311e-01,9.999961285542812162e-01,-2.268199410634464622e-03,8.899173827333382381e-04,1.343947518903093521e-03,4.538795986838671526e-03,-1.773732123056269688e-03,-2.691929137668312971e-03,0.000000000000000000e+00
-7.800000000000000266e-01,9.999955242938868283e-01,-2.429886006744483903e-03,1.042799032875473030e-03,1.399862980503813973e-03,4.862699484536832373e-03,-2.078787213487938174e-03,-2.804790933530854329e-03,0.000000000000000000e+00
-6.500000000000000222e-01,9.999952727402483532e-01,-2.532943678241706461e-03,1.057536894192662169e-03,1.385752212712464473e-03,5.068827344959225822e-03,-2.108045286576096852e-03,-2.776858425250702377e-03,0.000000000000000000e+00
-5.200000000000000178e-01,9.999956867644411718e-01,-2.525368173321200331e-03,1.163544313204768841e-03,9.461145450538641999e-04,5.052951381695622995e-03,-2.322302101403007999e-03,-1.898103942093579523e-03,0.000000000000000000e+00
-3.900000000000000133e-01,9.999953383761085446e-01,-2.423075053481593515e-03,8.635752853395667512e-04,1.645044395209424018e-03,4.848994923273015900e-03,-1.719171234130190302e-03,-3.294269295249360827e-03,0.000000000000000000e+00
-2.600000000000000089e-01,9.999978731645683405e-01,-1.661917099944524396e-03,7.199901549049939932e-04,9.865657950627868857e-04,3.325257325867443138e-03,-1.436698560327634260e-03,-1.975523845317695044e-03,0.000000000000000000e+00
-1.300000000000000044e-01,9.999999964896010285e-01,7.168767451289984592e-05,3.845581609400988536e-05,2.007046818587835416e-05,-1.433738057853165340e-04,-7.691450960424632305e-05,-4.013542274428430218e-05,0.000000000000000000e+00
0.000000000000000000e+00,9.999304294749515876e-01,3.553298669915942471e-03,-2.808683588420156970e-03,-1.089135322628691574e-02,-7.045094700320009458e-03,5.694407610212378311e-03,2.176330161660846099e-02,0.000000000000000000e+00
1.300000000000000044e-01,9.999170487127698737e-01,8.823627152071593718e-03,-6.759762227775173611e-03,6.507296831062549594e-03,-1.773628908732020198e-02,1.340396844170364116e-02,-1.313436281277041533e-02,0.000000000000000000e+00
2.600000000000000089e-01,9.998010452039964857e-01,3.941230654950330509e-03,-2.803130998266305587e-03,1.935146419590006925e-02,-7.989586203583483315e-03,5.452636454910913047e-03,-3.872757943645222661e-02,2.270000000000000018e+00
3.900000000000000133e-01,9.989281618310407174e-01,2.022576232684686684e-02,-1.118733708433983752e-02,-4.010348523651585673e-02,-3.953251936055495602e-02,2.397523606996364298e-02,7.977595087416133879e-02,4.610000000000000320e+00
5.200000000000000178e-01,9.996979286709398727e-01,1.471242861062049302e-02,-2.571583992495595807e-03,-1.951878098594657732e-02,-2.932026017347850316e-02,5.715982850865829711e-03,3.896059347188493560e-02,7.009999999999999787e+00
6.500000000000000222e-01,9.996763658985158285e-01,2.245938776209933235e-02,-6.006992382467699065e-03,-1.032741050813167777e-02,-4.479863226044026453e-02,1.247431477991070049e-02,2.038130632009860915e-02,9.669999999999999929e+00
